
user_id,experiment_name,variant
u00001,onboarding_redesign,treatment
u00002,onboarding_redesign,control
u00003,onboarding_redesign,treatment
u00004,onboarding_redesign,control
u00005,onboarding_redesign,control
u00006,onboarding_redesign,control
u00007,onboarding_redesign,treatment
u00008,onboarding_redesign,treatment
u00009,onboarding_redesign,control
u00010,onboarding_redesign,treatment
u00011,onboarding_redesign,control
u00012,onboarding_redesign,treatment
u00013,onboarding_redesign,control
u00014,onboarding_redesign,treatment
u00015,onboarding_redesign,treatment
u00016,onboarding_redesign,treatment
u00017,onboarding_redesign,treatment
u00018,onboarding_redesign,control
u00019,onboarding_redesign,treatment
u00020,onboarding_redesign,treatment
u00021,onboarding_redesign,control
u00022,onboarding_redesign,control
u00023,onboarding_redesign,control
u00024,onboarding_redesign,treatment
u00025,onboarding_redesign,control
u00026,onboarding_redesign,treatment
u00027,onboarding_redesign,treatment
u00028,onboarding_redesign,treatment
u00029,onboarding_redesign,treatment
u00030,onboarding_redesign,treatment
u00031,onboarding_redesign,treatment
u00032,onboarding_redesign,treatment
u00033,onboarding_redesign,treatment
u00034,onboarding_redesign,control
u00035,onboarding_redesign,treatment
u00036,onboarding_redesign,control
u00037,onboarding_redesign,control
u00038,onboarding_redesign,treatment
u00039,onboarding_redesign,control
u00040,onboarding_redesign,treatment
u00041,onboarding_redesign,treatment
u00042,onboarding_redesign,control
u00043,onboarding_redesign,control
u00044,onboarding_redesign,control
u00045,onboarding_redesign,treatment
u00046,onboarding_redesign,treatment
u00047,onboarding_redesign,treatment
u00048,onboarding_redesign,treatment
u00049,onboarding_redesign,treatment
u00050,onboarding_redesign,treatment
u00051,onboarding_redesign,control
u00052,onboarding_redesign,control
u00053,onboarding_redesign,treatment
u00054,onboarding_redesign,treatment
u00055,onboarding_redesign,control
u00056,onboarding_redesign,treatment
u00057,onboarding_redesign,treatment
u00058,onboarding_redesign,control
u00059,onboarding_redesign,control
u00060,onboarding_redesign,control
u00061,onboarding_redesign,control
u00062,onboarding_redesign,treatment
u00063,onboarding_redesign,treatment
u00064,onboarding_redesign,treatment
u00065,onboarding_redesign,treatment
u00066,onboarding_redesign,control
u00067,onboarding_redesign,treatment
u00068,onboarding_redesign,control
u00069,onboarding_redesign,control
u00070,onboarding_redesign,treatment
u00071,onboarding_redesign,treatment
u00072,onboarding_redesign,treatment
u00073,onboarding_redesign,control
u00074,onboarding_redesign,control
u00075,onboarding_redesign,control
u00076,onboarding_redesign,treatment
u00077,onboarding_redesign,treatment
u00078,onboarding_redesign,control
u00079,onboarding_redesign,control
u00080,onboarding_redesign,treatment
u00081,onboarding_redesign,treatment
u00082,onboarding_redesign,control
u00083,onboarding_redesign,treatment
u00084,onboarding_redesign,treatment
u00085,onboarding_redesign,control
u00086,onboarding_redesign,control
u00087,onboarding_redesign,control
u00088,onboarding_redesign,control
u00089,onboarding_redesign,treatment
u00090,onboarding_redesign,treatment
u00091,onboarding_redesign,control
u00092,onboarding_redesign,treatment
u00093,onboarding_redesign,control
u00094,onboarding_redesign,treatment
u00095,onboarding_redesign,control
u00096,onboarding_redesign,treatment
u00097,onboarding_redesign,treatment
u00098,onboarding_redesign,control
u00099,onboarding_redesign,treatment
u00100,onboarding_redesign,treatment
u00101,onboarding_redesign,control
u00102,onboarding_redesign,treatment
u00103,onboarding_redesign,control
u00104,onboarding_redesign,treatment
u00105,onboarding_redesign,control
u00106,onboarding_redesign,treatment
u00107,onboarding_redesign,treatment
u00108,onboarding_redesign,control
u00109,onboarding_redesign,treatment
u00110,onboarding_redesign,control
u00111,onboarding_redesign,treatment
u00112,onboarding_redesign,treatment
u00113,onboarding_redesign,control
u00114,onboarding_redesign,control
u00115,onboarding_redesign,control
u00116,onboarding_redesign,control
u00117,onboarding_redesign,treatment
u00118,onboarding_redesign,control
u00119,onboarding_redesign,treatment
u00120,onboarding_redesign,treatment
u00121,onboarding_redesign,control
u00122,onboarding_redesign,control
u00123,onboarding_redesign,control
u00124,onboarding_redesign,treatment
u00125,onboarding_redesign,control
u00126,onboarding_redesign,treatment
u00127,onboarding_redesign,treatment
u00128,onboarding_redesign,control
u00129,onboarding_redesign,control
u00130,onboarding_redesign,control
u00131,onboarding_redesign,treatment
u00132,onboarding_redesign,control
u00133,onboarding_redesign,treatment
u00134,onboarding_redesign,control
u00135,onboarding_redesign,treatment
u00136,onboarding_redesign,control
u00137,onboarding_redesign,treatment
u00138,onboarding_redesign,control
u00139,onboarding_redesign,control
u00140,onboarding_redesign,control
u00141,onboarding_redesign,treatment
u00142,onboarding_redesign,treatment
u00143,onboarding_redesign,control
u00144,onboarding_redesign,control
u00145,onboarding_redesign,control
u00146,onboarding_redesign,control
u00147,onboarding_redesign,treatment
u00148,onboarding_redesign,treatment
u00149,onboarding_redesign,treatment
u00150,onboarding_redesign,treatment
u00151,onboarding_redesign,control
u00152,onboarding_redesign,treatment
u00153,onboarding_redesign,treatment
u00154,onboarding_redesign,control
u00155,onboarding_redesign,treatment
u00156,onboarding_redesign,treatment
u00157,onboarding_redesign,control
u00158,onboarding_redesign,treatment
u00159,onboarding_redesign,treatment
u00160,onboarding_redesign,control
u00161,onboarding_redesign,control
u00162,onboarding_redesign,treatment
u00163,onboarding_redesign,treatment
u00164,onboarding_redesign,treatment
u00165,onboarding_redesign,treatment
u00166,onboarding_redesign,control
u00167,onboarding_redesign,control
u00168,onboarding_redesign,control
u00169,onboarding_redesign,control
u00170,onboarding_redesign,control
u00171,onboarding_redesign,control
u00172,onboarding_redesign,treatment
u00173,onboarding_redesign,control
u00174,onboarding_redesign,treatment
u00175,onboarding_redesign,treatment
u00176,onboarding_redesign,control
u00177,onboarding_redesign,treatment
u00178,onboarding_redesign,control
u00179,onboarding_redesign,control
u00180,onboarding_redesign,treatment
u00181,onboarding_redesign,control
u00182,onboarding_redesign,control
u00183,onboarding_redesign,control
u00184,onboarding_redesign,control
u00185,onboarding_redesign,control
u00186,onboarding_redesign,control
u00187,onboarding_redesign,treatment
u00188,onboarding_redesign,treatment
u00189,onboarding_redesign,treatment
u00190,onboarding_redesign,treatment
u00191,onboarding_redesign,control
u00192,onboarding_redesign,treatment
u00193,onboarding_redesign,treatment
u00194,onboarding_redesign,treatment
u00195,onboarding_redesign,control
u00196,onboarding_redesign,treatment
u00197,onboarding_redesign,control
u00198,onboarding_redesign,control
u00199,onboarding_redesign,control
u00200,onboarding_redesign,control
u00201,onboarding_redesign,control
u00202,onboarding_redesign,control
u00203,onboarding_redesign,treatment
u00204,onboarding_redesign,treatment
u00205,onboarding_redesign,control
u00206,onboarding_redesign,control
u00207,onboarding_redesign,treatment
u00208,onboarding_redesign,control
u00209,onboarding_redesign,treatment
u00210,onboarding_redesign,control
u00211,onboarding_redesign,treatment
u00212,onboarding_redesign,control
u00213,onboarding_redesign,control
u00214,onboarding_redesign,treatment
u00215,onboarding_redesign,treatment
u00216,onboarding_redesign,control
u00217,onboarding_redesign,treatment
u00218,onboarding_redesign,treatment
u00219,onboarding_redesign,treatment
u00220,onboarding_redesign,control
u00221,onboarding_redesign,treatment
u00222,onboarding_redesign,control
u00223,onboarding_redesign,control
u00224,onboarding_redesign,treatment
u00225,onboarding_redesign,control
u00226,onboarding_redesign,treatment
u00227,onboarding_redesign,control
u00228,onboarding_redesign,treatment
u00229,onboarding_redesign,treatment
u00230,onboarding_redesign,treatment
u00231,onboarding_redesign,control
u00232,onboarding_redesign,treatment
u00233,onboarding_redesign,control
u00234,onboarding_redesign,treatment
u00235,onboarding_redesign,control
u00236,onboarding_redesign,treatment
u00237,onboarding_redesign,treatment
u00238,onboarding_redesign,control
u00239,onboarding_redesign,treatment
u00240,onboarding_redesign,treatment
u00241,onboarding_redesign,control
u00242,onboarding_redesign,treatment
u00243,onboarding_redesign,treatment
u00244,onboarding_redesign,treatment
u00245,onboarding_redesign,treatment
u00246,onboarding_redesign,treatment
u00247,onboarding_redesign,control
u00248,onboarding_redesign,treatment
u00249,onboarding_redesign,control
u00250,onboarding_redesign,treatment
