
user_id,signup_date,acquisition_channel,country
u00001,2025-04-13,social,United States
u00002,2025-10-21,organic,Other
u00003,2025-10-01,referral,Other
u00004,2025-05-16,organic,Germany
u00005,2025-09-16,organic,United Kingdom
u00006,2025-10-22,paid,United States
u00007,2025-07-18,organic,India
u00008,2025-04-09,organic,United States
u00009,2025-02-06,referral,United States
u00010,2025-04-23,organic,Brazil
u00011,2025-07-07,referral,United States
u00012,2025-06-23,organic,Australia
u00013,2025-11-22,organic,United Kingdom
u00014,2025-05-02,organic,United States
u00015,2025-04-06,referral,India
u00016,2025-06-09,referral,Australia
u00017,2025-04-24,paid,Brazil
u00018,2025-07-06,organic,United States
u00019,2025-01-05,paid,United States
u00020,2025-04-27,other,United States
u00021,2025-07-05,organic,United States
u00022,2025-03-23,paid,Australia
u00023,2025-08-10,social,Australia
u00024,2025-12-01,paid,Other
u00025,2025-08-21,organic,Brazil
u00026,2025-04-11,organic,India
u00027,2025-08-31,organic,India
u00028,2025-01-20,organic,United States
u00029,2025-03-30,paid,Canada
u00030,2025-10-16,organic,United Kingdom
u00031,2025-04-14,referral,Other
u00032,2025-01-01,referral,United Kingdom
u00033,2025-07-01,organic,Canada
u00034,2025-10-13,social,Australia
u00035,2025-10-15,organic,Brazil
u00036,2025-08-22,social,United States
u00037,2025-11-03,organic,Germany
u00038,2025-08-17,organic,Other
u00039,2025-03-30,paid,India
u00040,2025-08-11,referral,France
u00041,2025-04-18,organic,United States
u00042,2025-01-29,social,United States
u00043,2025-05-20,other,Germany
u00044,2025-11-19,organic,Canada
u00045,2025-11-14,paid,France
u00046,2025-12-29,organic,Other
u00047,2025-12-22,paid,India
u00048,2025-07-11,social,United States
u00049,2025-06-13,paid,Australia
u00050,2025-03-16,organic,United States
u00051,2025-03-13,organic,United States
u00052,2025-01-15,paid,United States
u00053,2025-03-27,organic,United States
u00054,2025-01-09,referral,United States
u00055,2025-07-30,organic,Other
u00056,2025-08-31,paid,Other
u00057,2025-03-28,paid,United States
u00058,2025-06-13,other,Canada
u00059,2025-10-26,organic,United States
u00060,2025-10-14,paid,United States
u00061,2025-09-26,social,United Kingdom
u00062,2025-11-12,paid,Australia
u00063,2025-08-27,paid,Australia
u00064,2025-04-28,paid,Australia
u00065,2025-06-16,paid,United States
u00066,2025-03-14,organic,United States
u00067,2025-08-25,organic,Other
u00068,2025-06-07,social,United States
u00069,2025-10-15,organic,Australia
u00070,2025-03-24,organic,United States
u00071,2025-12-25,organic,United States
u00072,2025-08-21,paid,France
u00073,2025-03-28,paid,United States
u00074,2025-05-20,paid,United States
u00075,2025-09-25,referral,United States
u00076,2025-01-30,referral,India
u00077,2025-04-14,organic,Brazil
u00078,2025-05-12,social,Brazil
u00079,2025-04-23,paid,India
u00080,2025-03-31,organic,India
u00081,2025-07-15,organic,Germany
u00082,2025-04-27,organic,United States
u00083,2025-10-04,organic,United States
u00084,2025-12-02,referral,Other
u00085,2025-11-21,paid,United Kingdom
u00086,2025-05-14,social,United States
u00087,2025-10-06,paid,United States
u00088,2025-02-08,social,United States
u00089,2025-03-14,organic,France
u00090,2025-09-21,referral,United States
u00091,2025-03-17,paid,United States
u00092,2025-05-22,paid,United States
u00093,2025-02-08,paid,India
u00094,2025-08-03,organic,Brazil
u00095,2025-12-01,social,United States
u00096,2025-05-06,paid,United States
u00097,2025-02-11,social,India
u00098,2025-08-30,social,Brazil
u00099,2025-07-08,referral,United States
u00100,2025-01-16,paid,United States
u00101,2025-02-24,referral,United States
u00102,2025-03-15,paid,India
u00103,2025-12-04,referral,United States
u00104,2025-07-20,organic,Germany
u00105,2025-05-29,paid,Canada
u00106,2025-01-29,paid,Other
u00107,2025-01-12,organic,United States
u00108,2025-11-27,other,United States
u00109,2025-06-24,referral,United States
u00110,2025-07-29,paid,United States
u00111,2025-01-08,organic,Canada
u00112,2025-12-15,paid,India
u00113,2025-05-09,organic,India
u00114,2025-11-20,organic,Brazil
u00115,2025-09-11,paid,United Kingdom
u00116,2025-01-22,organic,Australia
u00117,2025-08-29,paid,United Kingdom
u00118,2025-09-19,paid,United States
u00119,2025-10-10,paid,United States
u00120,2025-05-06,organic,United States
u00121,2025-01-06,paid,Other
u00122,2025-02-28,paid,France
u00123,2025-09-05,organic,United Kingdom
u00124,2025-12-19,referral,India
u00125,2025-06-26,paid,Other
u00126,2025-04-25,organic,United Kingdom
u00127,2025-01-19,paid,United States
u00128,2025-10-19,social,United Kingdom
u00129,2025-10-04,paid,Brazil
u00130,2025-05-18,paid,United States
u00131,2025-10-06,other,Germany
u00132,2025-08-20,social,United States
u00133,2025-05-20,organic,India
u00134,2025-10-31,organic,United States
u00135,2025-02-17,paid,Other
u00136,2025-07-22,referral,France
u00137,2025-10-20,social,India
u00138,2025-11-14,paid,United Kingdom
u00139,2025-09-30,referral,Other
u00140,2025-06-25,paid,Other
u00141,2025-08-06,organic,Canada
u00142,2025-11-29,paid,United States
u00143,2025-01-06,organic,Germany
u00144,2025-05-29,organic,India
u00145,2025-07-11,paid,United States
u00146,2025-01-05,organic,Other
u00147,2025-04-01,referral,France
u00148,2025-09-19,paid,United States
u00149,2025-07-09,organic,United States
u00150,2025-11-19,social,India
u00151,2025-11-25,organic,India
u00152,2025-10-31,paid,United States
u00153,2025-01-21,social,India
u00154,2025-05-15,organic,United States
u00155,2025-07-01,paid,India
u00156,2025-05-04,social,Canada
u00157,2025-02-05,other,India
u00158,2025-08-07,organic,United States
u00159,2025-02-27,paid,United States
u00160,2025-06-22,social,India
u00161,2025-09-20,paid,Canada
u00162,2025-12-24,organic,India
u00163,2025-01-30,organic,Canada
u00164,2025-07-29,organic,United Kingdom
u00165,2025-11-02,organic,United States
u00166,2025-09-06,paid,France
u00167,2025-11-06,organic,India
u00168,2025-03-06,organic,United States
u00169,2025-08-13,organic,India
u00170,2025-07-10,organic,Brazil
u00171,2025-12-07,referral,United States
u00172,2025-07-10,referral,Brazil
u00173,2025-07-19,paid,United States
u00174,2025-07-28,paid,France
u00175,2025-03-20,organic,United States
u00176,2025-12-08,social,India
u00177,2025-12-20,paid,Other
u00178,2025-12-29,organic,United Kingdom
u00179,2025-04-24,organic,France
u00180,2025-01-23,other,Australia
u00181,2025-07-17,social,United States
u00182,2025-10-09,social,India
u00183,2025-02-01,paid,Other
u00184,2025-04-24,referral,United States
u00185,2025-07-22,organic,United States
u00186,2025-06-23,other,United States
u00187,2025-12-22,referral,India
u00188,2025-03-20,organic,United States
u00189,2025-07-11,organic,United States
u00190,2025-10-20,organic,United States
u00191,2025-05-05,paid,India
u00192,2025-10-21,organic,Canada
u00193,2025-09-08,organic,United States
u00194,2025-05-31,paid,India
u00195,2025-09-01,organic,France
u00196,2025-12-02,social,Other
u00197,2025-02-18,paid,India
u00198,2025-08-30,paid,United States
u00199,2025-11-04,other,United States
u00200,2025-01-10,social,Other
u00201,2025-07-01,referral,United States
u00202,2025-06-01,paid,United Kingdom
u00203,2025-05-26,social,United States
u00204,2025-07-25,paid,United States
u00205,2025-12-23,organic,United States
u00206,2025-04-13,other,United States
u00207,2025-04-01,paid,United States
u00208,2025-03-28,organic,United States
u00209,2025-06-28,paid,Canada
u00210,2025-09-28,paid,United States
u00211,2025-08-23,organic,India
u00212,2025-10-12,social,France
u00213,2025-02-11,organic,United States
u00214,2025-02-15,social,United States
u00215,2025-11-29,organic,United States
u00216,2025-12-22,organic,Other
u00217,2025-04-24,social,United States
u00218,2025-02-01,social,United Kingdom
u00219,2025-12-18,paid,France
u00220,2025-11-25,organic,India
u00221,2025-04-16,paid,France
u00222,2025-09-04,organic,Australia
u00223,2025-05-01,social,Germany
u00224,2025-12-28,organic,United Kingdom
u00225,2025-05-01,social,Canada
u00226,2025-11-05,referral,United States
u00227,2025-09-02,organic,United Kingdom
u00228,2025-07-08,social,Other
u00229,2025-02-24,paid,United States
u00230,2025-08-15,other,United States
u00231,2025-07-10,paid,United States
u00232,2025-05-01,other,United States
u00233,2025-06-24,organic,Germany
u00234,2025-09-20,paid,United States
u00235,2025-12-01,organic,United States
u00236,2025-08-24,paid,Germany
u00237,2025-11-06,referral,Brazil
u00238,2025-09-19,paid,United Kingdom
u00239,2025-12-24,social,United States
u00240,2025-08-28,paid,Other
u00241,2025-03-27,organic,United States
u00242,2025-06-15,paid,United States
u00243,2025-11-28,organic,Australia
u00244,2025-08-30,other,United States
u00245,2025-12-21,social,United States
u00246,2025-07-23,organic,Australia
u00247,2025-10-20,referral,United States
u00248,2025-01-23,organic,Other
u00249,2025-11-20,organic,Germany
u00250,2025-05-29,other,France
u00251,2025-07-21,paid,United States
u00252,2025-12-29,social,Brazil
u00253,2025-02-05,organic,United States
u00254,2025-07-03,organic,Other
u00255,2025-10-30,referral,United States
u00256,2025-10-05,organic,Germany
u00257,2025-02-23,organic,United States
u00258,2025-01-07,paid,Australia
u00259,2025-05-12,paid,India
u00260,2025-02-25,organic,United States
u00261,2025-09-02,referral,United States
u00262,2025-10-22,paid,Australia
u00263,2025-02-02,paid,France
u00264,2025-02-12,social,India
u00265,2025-04-27,organic,Australia
u00266,2025-07-01,organic,United States
u00267,2025-02-07,organic,France
u00268,2025-05-22,referral,Canada
u00269,2025-11-20,paid,India
u00270,2025-08-13,referral,United States
u00271,2025-12-20,paid,Brazil
u00272,2025-02-18,social,United States
u00273,2025-08-17,referral,United States
u00274,2025-06-21,paid,India
u00275,2025-12-12,social,United States
u00276,2025-10-21,organic,Other
u00277,2025-12-31,paid,India
u00278,2025-05-03,paid,United States
u00279,2025-12-25,paid,United States
u00280,2025-09-27,paid,United States
u00281,2025-09-14,social,Other
u00282,2025-05-08,organic,United States
u00283,2025-05-11,social,Canada
u00284,2025-02-06,paid,United States
u00285,2025-08-30,organic,United States
u00286,2025-07-02,organic,United States
u00287,2025-08-07,other,Germany
u00288,2025-06-10,social,United States
u00289,2025-05-02,referral,United States
u00290,2025-08-26,paid,India
u00291,2025-04-07,paid,United States
u00292,2025-05-16,organic,Other
u00293,2025-12-02,referral,Germany
u00294,2025-09-26,referral,United Kingdom
u00295,2025-07-29,paid,Australia
u00296,2025-07-27,organic,United States
u00297,2025-02-22,organic,United States
u00298,2025-05-04,referral,United States
u00299,2025-04-30,other,United States
u00300,2025-01-15,organic,Australia
u00301,2025-01-03,referral,United States
u00302,2025-06-15,paid,India
u00303,2025-06-18,organic,India
u00304,2025-01-04,organic,United States
u00305,2025-09-04,organic,India
u00306,2025-04-06,social,United States
u00307,2025-05-22,social,United States
u00308,2025-11-07,paid,United States
u00309,2025-11-23,organic,United States
u00310,2025-10-27,organic,United States
u00311,2025-08-09,social,United States
u00312,2025-12-09,referral,United States
u00313,2025-05-08,social,Canada
u00314,2025-03-23,organic,Germany
u00315,2025-12-01,paid,Other
u00316,2025-04-20,paid,United States
u00317,2025-06-28,organic,India
u00318,2025-06-24,organic,United States
u00319,2025-08-27,organic,India
u00320,2025-07-21,referral,India
u00321,2025-06-13,organic,United States
u00322,2025-09-09,organic,France
u00323,2025-12-03,paid,United States
u00324,2025-07-11,organic,Canada
u00325,2025-02-07,paid,United States
u00326,2025-12-14,paid,United States
u00327,2025-08-11,social,United Kingdom
u00328,2025-11-23,paid,United States
u00329,2025-02-07,social,Germany
u00330,2025-07-17,paid,United States
u00331,2025-01-09,organic,United States
u00332,2025-01-27,paid,India
u00333,2025-10-20,referral,Australia
u00334,2025-09-17,paid,United States
u00335,2025-10-14,social,Other
u00336,2025-01-06,organic,Other
u00337,2025-08-04,organic,United States
u00338,2025-05-05,referral,United States
u00339,2025-03-26,paid,United Kingdom
u00340,2025-09-08,organic,United States
u00341,2025-12-03,paid,France
u00342,2025-07-07,organic,United States
u00343,2025-03-30,paid,Australia
